,Inspection_ID,Test,Inspector,pastSerious,pastCritical,timeSinceLast,ageAtInspection,consumption_on_premises_incidental_activity,tobacco,temperatureMax,heat_burglary,heat_sanitation,heat_garbage,criticalFound
0,269961.0,False,green,0.0,0.0,2.0,1,0.0,1.0,53.49666666666666,26.992375861633032,37.748787167932505,12.768572449358047,0.0
1,507211.0,False,blue,0.0,0.0,2.0,1,0.0,0.0,59.04666666666666,13.976556531634234,15.412267322070075,12.895485011642904,0.0
2,507212.0,False,blue,0.0,0.0,2.0,1,0.0,0.0,59.04666666666666,12.611239475253589,8.320329738168754,8.004219947993086,0.0
3,507216.0,False,blue,0.0,0.0,2.0,1,0.0,0.0,56.153333333333336,35.906382996944764,38.18661845787836,26.23864454195639,0.0
4,507219.0,False,blue,0.0,0.0,2.0,1,0.0,0.0,52.73,9.53078543793244,2.126787504674216,3.4015669077145034,0.0
5,509319.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,79.21666666666668,35.11199288105402,12.350779294794087,32.21951913071832,0.0
6,509320.0,False,orange,0.0,0.0,2.0,0,0.0,0.0,79.21666666666668,7.078183051512449,14.61509963732215,34.74847695041561,0.0
7,509321.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,79.21666666666668,12.579649352471675,11.509750726239778,15.110385023609176,0.0
8,509323.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,73.49666666666667,12.535886431233429,19.938422404915098,37.96641856081946,0.0
9,509324.0,False,orange,0.0,0.0,2.0,0,0.0,0.0,73.49666666666667,13.627468306616006,25.03046281384928,41.05990216154411,0.0
10,509325.0,False,orange,0.0,0.0,2.0,0,0.0,0.0,73.49666666666667,8.788509269757038,17.733490967092603,50.0,0.0
11,509330.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,70.07333333333334,3.656825014752453,16.604556088611638,24.689533573626253,0.0
12,509333.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,68.50333333333333,6.463858208276449,13.57691765598051,28.279136974680625,1.0
13,509341.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,61.833333333333336,7.976849427826718,16.45224064077265,33.138719676325834,0.0
14,509342.0,False,orange,0.0,0.0,2.0,1,0.0,1.0,61.833333333333336,19.36637217929607,8.813282363274546,26.905390412467643,0.0
15,509343.0,False,orange,0.0,0.0,2.0,1,0.0,0.0,61.833333333333336,21.648686961562735,12.991147123246352,30.409737600760565,0.0
